id;nombre;descripcion;criterios_aceptacion
1;Rojo Joyería;Account;93130
2;política solución;hack digital;15688
3;Centralizado;Soporte facilitate de;83876
4;Fundamental Director;Informática;18712
5;withdrawal PCI aplicación;Violeta compressing multiestado;21650
6;Pantalones haptic;program Genérico TCP;26733
7;Shilling Queso Castilla;Market panel Galicia;12383
8;quantifying Productor;León e-commerce compress;10371
9;Loan redundant redundant;wireless;62243
10;array withdrawal;withdrawal Andalucía Camiseta;70052
