id;nombre;actividades;fecha_creacion
1;global Account Central;quantifying Respuesta;2023-01-30T15:55:18
2;quantify bifurcada Rufiyaa;Oficial Oficial;2023-01-30T17:51:19
3;fritas Lempira Canada;Inteligente Travesía Ergonómico;2023-01-30T10:35:18
4;generate digital Creativo;Rioja Montserrat;2023-01-30T12:54:12
5;Refinado;Extremadura;2023-01-30T12:49:15
6;Algodón de;acompasada Morado synergies;2023-01-30T01:11:45
7;Práctico SDD;invoice program;2023-01-30T04:57:52
8;Mascotas 1080p Sterling;brand incremental uniforme;2023-01-30T13:55:53
9;redundant Azul maximizada;Amarillo Vasco Algodón;2023-01-30T09:10:23
10;out-of-the-box Inteligente;Zapatos;2023-01-30T02:25:55
